Date      ,Time    ,Person Count
2024-11-21,08:12:17,4           
2024-11-21,08:12:18,1           
2024-11-21,08:12:19,1           
2024-11-21,08:12:20,1           
2024-11-21,08:12:21,1           
2024-11-21,08:12:22,1           
2024-11-21,08:12:24,2           
2024-11-21,08:12:25,1           
2024-11-21,08:12:26,1           
2024-11-21,08:12:27,3           
2024-11-21,08:12:28,0           
2024-11-21,08:12:29,0           
2024-11-21,08:12:31,2           
2024-11-21,08:12:32,3           
2024-11-21,08:12:33,1           
2024-11-21,08:12:34,2           
2024-11-21,08:12:35,1           
2024-11-21,08:12:36,2           
2024-11-21,08:12:37,3           
2024-11-21,08:12:38,3           
2024-11-21,08:12:39,1           
2024-11-21,08:12:40,1           
2024-11-21,08:12:42,2           
2024-11-21,08:12:43,0           
2024-11-21,08:12:44,0           
2024-11-21,08:12:45,0           
2024-11-21,08:12:46,1           
2024-11-21,08:12:47,0           
2024-11-21,08:12:48,0           
2024-11-21,08:12:49,0           
2024-11-21,08:12:51,1           
2024-11-21,08:12:52,0           
2024-11-21,08:12:53,1           
2024-11-21,08:12:54,1           
2024-11-21,08:12:55,1           
2024-11-21,08:12:56,0           
2024-11-21,08:12:58,0           
2024-11-21,08:12:59,1           
2024-11-21,08:13:00,0           
2024-11-21,08:13:01,0           
2024-11-21,08:13:02,0           
2024-11-21,08:13:04,1           
2024-11-21,08:13:05,0           
2024-11-21,08:13:06,1           
2024-11-21,08:13:08,0           
2024-11-21,08:13:09,0           
2024-11-21,08:13:10,1           
2024-11-21,08:13:11,0           
2024-11-21,08:13:12,1           
2024-11-21,08:13:13,0           
2024-11-21,08:13:15,0           
2024-11-21,08:13:16,0           
2024-11-21,08:13:17,0           
2024-11-21,08:13:18,1           
2024-11-21,08:13:19,1           
2024-11-21,08:13:20,0           
2024-11-21,08:13:21,3           
2024-11-21,08:13:22,2           
2024-11-21,08:13:24,2           
2024-11-21,08:13:25,1           
2024-11-21,08:13:26,1           
2024-11-21,08:13:27,1           
2024-11-21,08:13:28,1           
2024-11-21,08:13:29,1           
2024-11-21,08:13:30,2           
2024-11-21,08:13:31,2           
2024-11-21,08:13:33,0           
2024-11-21,08:13:34,0           
2024-11-21,08:13:35,1           
2024-11-21,08:13:36,0           
2024-11-21,08:13:37,0           
2024-11-21,08:13:38,2           
2024-11-21,08:13:39,1           
2024-11-21,08:13:40,0           
2024-11-21,08:13:41,1           
2024-11-21,08:13:42,0           
2024-11-21,08:13:44,2           
2024-11-21,08:13:45,1           
2024-11-21,08:13:46,0           
2024-11-21,08:13:47,1           
2024-11-21,08:13:49,0           
2024-11-21,08:13:50,1           
2024-11-21,08:13:51,0           
2024-11-21,08:13:52,2           
2024-11-21,08:13:53,0           
2024-11-21,08:13:54,0           
2024-11-21,08:13:55,0           
2024-11-21,08:13:56,1           
2024-11-21,08:13:57,0           
2024-11-21,08:13:58,1           
2024-11-21,08:13:59,1           
2024-11-21,08:14:01,1           
2024-11-21,08:14:02,2           
2024-11-21,08:14:03,1           
2024-11-21,08:14:04,0           
2024-11-21,08:14:05,2           
2024-11-21,08:14:07,1           
2024-11-21,08:14:09,0           
2024-11-21,08:14:10,0           
2024-11-21,08:14:11,0           
2024-11-21,08:14:12,2           
2024-11-21,08:14:14,2           
2024-11-21,08:14:15,1           
2024-11-21,08:14:16,2           
2024-11-21,08:14:17,1           
2024-11-21,08:14:18,0           
2024-11-21,08:14:19,2           
